song,length
And the Gods Made Love,1:21
Have You Ever Been (To Electric Ladyland),2:11
Crosstown Traffic,2:25
Voodoo Chile,15:00
Little Miss Strange,2:52
Long Hot Summer Night,3:27
Come On (Part 1),4:09
Gypsy Eyes,3:43
Burning of the Midnight Lamp,3:39
"Rainy Day, Dream Away",3:42
1983... (A Merman I Should Turn to Be),13:39
"Moon, Turn the Tides... Gently Gently Away",1:02
"Still Raining, Still Dreaming",4:25
House Burning Down,4:33
All Along the Watchtower,4:01
Voodoo Child (Slight Return),5:12
