"name","director","studio"
"Anchors Aweigh","George Sidney","Metro-Goldwyn-Mayer"
"Can-Can","Walter Lang","Twentieth-Century Fox"
"Going My Way","Leo McCarey","Paramount Pictures"
"High Society","Charles Walters","Metro-Goldwyn-Mayer"
"Pal Joey","George Sidney","Columbia Pictures"
"The Joker is Wild","Charles Vidor","Paramount Pictures"
"The Road to Morocco","David Butler","Paramount Pictures"
"The Tender Trap","Charles Walters","Metro-Goldwyn-Mayer"
"Till the Clouds Roll By","Richard Whorf","Metro-Goldwyn-Mayer"
"White Christmas","Michael Curtiz","Paramount Pictures"
