"song","peak"
"(I Heard That) Lonesome Whistle",9
"(I'm Gonna) Sing, Sing, Sing",NA
"A Home in Heaven",NA
"A Mansion on the Hill",12
"A Teardrop on a Rose",NA
"At the First Fall of Snow",NA
"Baby, We're Really in Love",4
"California Zephyr",NA
"Calling You",NA
"Cold, Cold Heart",1
"Crazy Heart",4
"Dear John",8
"Half as Much",2
"Hey Good Lookin'",1
"Honky Tonk Blues",2
"Honky Tonkin'",14
"How Can You Refuse Him Now",NA
"Howlin' At the Moon",3
"I Can't Help It (If I'm Still in Love With You)",2
"I Just Don't Like This Kind of Living",5
"I Saw the Light",NA
"I Won't Be Home No More",4
"I'll Never Get Out of This World Alive",1
"I'm a Long Gone Daddy",6
"I'm Satisfied with You",NA
"I'm So Lonesome I Could Cry",2
"Jambalaya (On the Bayou)",1
"Just Waitin'",NA
"Kaw-Liga",1
"Kaw-Liga",NA
"Leave Me Alone with the Blues",NA
"Long Gone Lonesome Blues",1
"Lost Highway",12
"Lovesick Blues",1
"Mind Your Own Business",5
"Moanin' the Blues",1
"Mother Is Gone",NA
"Move It On Over",4
"My Bucket's Got a Hole in It",2
"My Love for You (Has Turned to Hate)",NA
"My Son Calls Another Man Daddy",9
"My Sweet Love Ain't Around",NA
"Never Again (Will I Knock on Your Door)",NA
"Never Again (Will I Knock on Your Door)",6
"Nobody's Lonesome for Me",9
"On the Banks of the Old Ponchartrain",NA
"Pan American",NA
"Please Don't Let Me Love You",9
"Ready to Go Home",NA
"Settin' the Woods on Fire",2
"Singing Waterfall",NA
"Take These Chains from My Heart",1
"Thank God",NA
"The Pale Horse and His Rider",NA
"The Waltz of the Wind",NA
"There's a Tear in My Beer",7
"There's No Room in My Heart for the Blues",NA
"They'll Never Take Her Love from Me",5
"Wealth Won't Save Your Soul",NA
"Weary Blues from Waitin'",7
"Wedding Bells",2
"Why Don't You Love Me",1
"Why Should We Try Anymore",9
"You Better Keep It on Your Mind",NA
"You Win Again",10
"You're Gonna Change (Or I'm Gonna Leave)",4
"Your Cheatin' Heart",1
