"song","peak"
"Billie Jean",NA
"The Way You Make Me Feel",NA
"Black or White",NA
"Rock with You",NA
"She's Out of My Life",NA
"Bad",NA
"I Just Can't Stop Loving You",NA
"Man in the Mirror",NA
"Thriller",NA
"Beat It",NA
"The Girl is Mine",NA
"Remember the Time",NA
"Don't Stop 'Til You Get Enough",NA
"Wanna Be Startin' Something",NA
"Heal the World",NA
"Scream",5
"They Don't Care About Us",30
"Stranger in Moscow",91
"This Time Around",NA
"Earth Song",NA
"D.S.",NA
"Money",NA
"Come Together",NA
"You Are Not Alone",1
"Childhood",5
"Tabloid Junkie",NA
"2 Bad",NA
"HIStory",NA
"Little Susie",NA
"Smile",NA
