PartyCode,CountyCode,CountyName,Precincts,PrecinctsReporting,CanNameLast,CanNameFirst,CanVotes,Pctvote
REP,ALA,alachua,63,63,Scott,Rick,40590,0.35297800735696955
REP,BAK,baker,9,9,Scott,Rick,8580,0.8153568374037822
REP,BAY,bay,44,44,Scott,Rick,46646,0.7365545555029213
REP,BRA,bradford,14,14,Scott,Rick,7573,0.724619653621663
REP,BRE,brevard,174,174,Scott,Rick,160240,0.5698030012090178
REP,BRO,broward,577,577,Scott,Rick,211119,0.3093531715737201
REP,CAL,calhoun,11,11,Scott,Rick,3583,0.7770548687920191
REP,CHA,charlotte,67,67,Scott,Rick,52908,0.6123327623721124
REP,CIT,citrus,31,31,Scott,Rick,47987,0.6793657535216252
REP,CLA,clay,47,47,Scott,Rick,65618,0.7032634907025347
REP,CLL,collier,59,59,Scott,Rick,101299,0.6507040263110563
REP,CLM,columbia,22,22,Scott,Rick,17230,0.6966401164436178
REP,DAD,miamidade,907,907,Scott,Rick,316014,0.3944214306129861
REP,DES,desoto,15,15,Scott,Rick,5502,0.6232442229270503
REP,DIX,dixie,10,10,Scott,Rick,4441,0.771140823059559
REP,DUV,duval,199,199,Scott,Rick,185833,0.49157487646679154
REP,ESC,escambia,79,79,Scott,Rick,75904,0.5895731063195178
REP,FLA,flagler,26,26,Scott,Rick,31454,0.5951561021759697
REP,FRA,franklin,8,8,Scott,Rick,3403,0.6286717162386847
REP,GAD,gadsden,25,25,Scott,Rick,6052,0.30272108843537415
REP,GIL,gilchrist,10,10,Scott,Rick,5703,0.7775051124744377
REP,GLA,glades,13,13,Scott,Rick,2664,0.6973821989528796
REP,GUL,gulf,10,10,Scott,Rick,4319,0.7324063082923521
REP,HAM,hamilton,8,8,Scott,Rick,2856,0.6319982296968356
REP,HAR,hardee,12,12,Scott,Rick,4454,0.699544526464583
REP,HEN,hendry,10,10,Scott,Rick,5301,0.5998642073101731
REP,HER,hernando,32,32,Scott,Rick,49483,0.6164646376558821
REP,HIG,highlands,25,25,Scott,Rick,26270,0.6625305793044312
REP,HIL,hillsborough,390,390,Scott,Rick,239560,0.4598327741222177
REP,HOL,holmes,8,8,Scott,Rick,5915,0.8739657210401891
REP,IND,indianriver,36,36,Scott,Rick,44782,0.6055713319810683
REP,JAC,jackson,14,14,Scott,Rick,10785,0.6758365709988721
REP,JEF,jefferson,16,16,Scott,Rick,3699,0.5051208521097911
REP,LAF,lafayette,5,5,Scott,Rick,2194,0.7793960923623445
REP,LAK,lake,102,102,Scott,Rick,93494,0.6038961877817824
REP,LEE,lee,127,127,Scott,Rick,174271,0.602886587952024
REP,LEO,leon,155,155,Scott,Rick,48754,0.34879345252148036
REP,LEV,levy,13,13,Scott,Rick,11657,0.686796677075355
REP,LIB,liberty,8,8,Scott,Rick,2075,0.7668144863266815
REP,MAD,madison,11,11,Scott,Rick,4181,0.5499868455669561
REP,MAN,manatee,70,70,Scott,Rick,94324,0.5782385071387849
REP,MON,monroe,33,33,Scott,Rick,18026,0.49986134989739894
REP,MRN,marion,125,125,Scott,Rick,95548,0.6183536111830183
REP,MRT,martin,30,30,Scott,Rick,46728,0.6036897317968064
REP,NAS,nassau,15,15,Scott,Rick,31783,0.7311310988935152
REP,OKA,okaloosa,52,52,Scott,Rick,60886,0.7270317388293173
REP,OKE,okeechobee,11,11,Scott,Rick,7725,0.6886868146563252
REP,ORA,orange,247,247,Scott,Rick,180687,0.38070706623768197
REP,OSC,osceola,87,87,Scott,Rick,47883,0.4165405292551803
REP,PAL,palmbeach,871,871,Scott,Rick,244776,0.41588821568500856
REP,PAS,pasco,110,110,Scott,Rick,121185,0.5754246181167231
REP,PIN,pinellas,299,299,Scott,Rick,205884,0.4739459121002569
REP,POL,polk,167,167,Scott,Rick,138710,0.5676135759123311
REP,PUT,putnam,35,35,Scott,Rick,18686,0.6668332024837628
REP,SAN,santarosa,41,41,Scott,Rick,56351,0.7476185422028816
REP,SAR,sarasota,101,101,Scott,Rick,113596,0.5396176940031923
REP,SEM,seminole,81,81,Scott,Rick,97431,0.4898959679406278
REP,STJ,stjohns,46,46,Scott,Rick,85017,0.6509674504789397
REP,STL,stlucie,64,64,Scott,Rick,59601,0.4824273133458525
REP,SUM,sumter,26,26,Scott,Rick,52850,0.7093483658814844
REP,SUW,suwannee,16,16,Scott,Rick,11863,0.7457723015024832
REP,TAY,taylor,14,14,Scott,Rick,5642,0.7137254901960784
REP,UNI,union,8,8,Scott,Rick,3647,0.7533567444742821
REP,VOL,volusia,125,125,Scott,Rick,125706,0.5502560735390676
REP,WAK,wakulla,12,12,Scott,Rick,9319,0.6570542198406543
REP,WAL,walton,21,21,Scott,Rick,22763,0.752744708994709
REP,WAS,washington,12,12,Scott,Rick,7097,0.7837658752070679
